country_name,year,co2_emissions_metric_tons_per_capita,energy_related_methane_emissions_percent_of_total,energy_use_kg_of_oil_equivalent_per_capita,fertility_rate_total_births_per_woman,fossil_fuel_energy_consumption_percent_of_total,gdp_per_capita_current_usd,life_expectancy_at_birth_total_years,literacy_rate_adult_total_percent_of_people_ages_15_and_above,mortality_rate_infant_per_1_000_live_births,population_total,renewable_energy_consumption_percent_of_total_final_energy_consumption,continent
Afghanistan,1960,0.046056712629903414,,,7.45,,59.773193840985314,32.446,,,8996973,,Asia
Afghanistan,1961,0.05358883505045581,,,7.45,,59.860873879077886,32.962,,236.5,9169410,,Asia
Afghanistan,1962,0.07372083083238187,,,7.45,,58.4580149495439,33.471,,232.6,9351441,,Asia
Afghanistan,1963,0.07416072482986585,,,7.45,,78.70638754078018,33.971,,228.9,9543205,,Asia
Afghanistan,1964,0.08617361436855277,,,7.45,,82.09523071318323,34.463,,225.1,9744781,,Asia
Afghanistan,1965,0.10128491249779034,,,7.45,,101.10830485337733,34.948,,221.4,9956320,,Asia
Afghanistan,1966,0.10739888092545179,,,7.45,,137.5943520531109,35.43,,217.7,10174836,,Asia
Afghanistan,1967,0.12340953195243891,,,7.45,,160.8985888724379,35.914,,213.9,10399926,,Asia
Afghanistan,1968,0.11514249751082606,,,7.45,,129.1083231025958,36.403,,210.1,10637063,,Asia
Afghanistan,1969,0.0865098566374047,,,7.45,,129.32971287662076,36.9,,206.3,10893776,,Asia
Afghanistan,1970,0.14965147442525903,11.435282747626005,,7.45,,156.51893944298158,37.409,,202.6,11173642,,Asia
Afghanistan,1971,0.16520832089735954,11.555450266649256,,7.45,,159.56757852188835,37.93,,198.8,11475445,,Asia
Afghanistan,1972,0.12999559417752962,13.76351953888461,,7.45,,135.31730831433026,38.461,,195,11791215,,Asia
Afghanistan,1973,0.1353665875434585,12.476322914840178,,7.45,,143.1446495000806,39.003,,191,12108963,,Asia
Afghanistan,1974,0.15450324056731074,13.059158451675348,,7.45,,173.6537646391694,39.558,,187.2,12412950,,Asia
Afghanistan,1975,0.16761235574301214,12.392622694334818,,7.45,,186.5108971402012,40.128,,183.2,12689160,,Asia
Afghanistan,1976,0.15355788604779397,11.369805475642924,,7.45,,197.44550755114457,40.715,,179.3,12943093,,Asia
Afghanistan,1977,0.18152216644272026,11.983379035671973,,7.449,,224.22479728113353,41.32,,175.4,13171306,,Asia
Afghanistan,1978,0.16189423168743916,11.571526395617752,,7.449,,247.35410634703786,41.944,,171.2,13341198,,Asia
Afghanistan,1979,0.16706641147423437,11.179070946794434,,7.449,,275.7381976192616,42.585,18.15768,167,13411056,,Asia
Afghanistan,1980,0.13178291845827103,13.43021550677975,,7.449,,272.6552856502319,43.244,,162.7,13356511,,Asia
Afghanistan,1981,0.15061465616402714,13.055030295831985,,7.449,,264.11131745306074,43.923,,158.4,13171673,,Asia
Afghanistan,1982,0.16310393425886593,13.01840320862549,,7.45,,,44.617,,154.1,12882528,,Asia
Afghanistan,1983,0.20122430455911877,13.946001902416057,,7.452,,,45.324,,149.8,12537730,,Asia
Afghanistan,1984,0.23196134605760008,15.808173134760578,,7.455,,,46.04,,145.7,12204292,,Asia
Afghanistan,1985,0.29395693222969477,15.98521884192462,,7.458,,,46.761,,141.6,11938208,,Asia
Afghanistan,1986,0.2677719042969607,17.789143015812805,,7.46,,,47.486,,137.5,11736179,,Asia
Afghanistan,1987,0.26922959594930745,13.32270950414927,,7.461,,,48.211,,133.3,11604534,,Asia
Afghanistan,1988,0.2468232712931351,14.099396692170691,,7.461,,,48.93,,129.2,11618005,,Asia
Afghanistan,1989,0.23388219458336285,9.843729691221554,,7.461,,,49.64,,125.1,11868877,,Asia
Afghanistan,1990,0.21064341941885426,10.730175084592402,,7.466,,,50.331,,121.1,12412308,15.9245316828932,Asia
Afghanistan,1991,0.18336355235879465,11.692353706232815,,7.479,,,50.999,,117.3,13299017,17.0364435282942,Asia
Afghanistan,1992,0.09619658106087269,7.239429737919815,,7.502,,,51.641,,113.7,14485546,26.5216286544368,Asia
Afghanistan,1993,0.0850871075160703,7.4649073090290745,,7.535,,,52.256,,110.4,15816603,30.5856670489932,Asia
Afghanistan,1994,0.07580649421251581,7.370873282436731,,7.572,,,52.842,,107.1,17075727,32.7962505504008,Asia
Afghanistan,1995,0.06863986215408971,7.155595009514168,,7.606,,,53.398,,104,18110657,35.0756402917937,Asia
Afghanistan,1996,0.0624346107290676,6.7006808133280416,,7.629,,,53.924,,101.1,18853437,37.9457475001443,Asia
Afghanistan,1997,0.05664234452986461,6.523964065816014,,7.632,,,54.424,,98.4,19357126,41.4326008731029,Asia
Afghanistan,1998,0.0527632181252538,6.474833069560412,,7.61,,,54.906,,95.7,19737765,44.0943368543633,Asia
Afghanistan,1999,0.04072253991949965,6.324854697248579,,7.561,,,55.376,,93.1,20170844,52.1857743728053,Asia
Afghanistan,2000,0.03723478104113132,6.9870957495348,,7.485,,,55.841,,90.6,20779953,54.2431263698384,Asia
Afghanistan,2001,0.03784613570387506,7.497991900777018,,7.387,,,56.308,,88,21606988,54.0550550388989,Asia
Afghanistan,2002,0.04737732386993894,7.287866268105109,,7.272,,179.42649446762417,56.784,,85.4,22600770,43.7711485658802,Asia
Afghanistan,2003,0.05048133575830044,7.311322390873129,,7.148,,190.68400878606352,57.271,,82.8,23680871,42.2761408803626,Asia
Afghanistan,2004,0.03841004317441029,7.522409090188059,,7.016,,211.381969507195,57.772,,80.1,24726684,49.8431476956196,Asia
Afghanistan,2005,0.05174396456388149,7.722582609635957,,6.875,,242.03137917335133,58.29,,77.4,25654277,40.8591712168299,Asia
